study	patient	scoring	model	n_cells	n_samples	rho_claudin	rho_polarity	delta_z
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt05	fixed_background	common	438	2	0.3163197414823001	0.03549918136001003	0.2920382439299998
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt06	fixed_background	common	1169	2	0.08077203318652018	0.006682203499826101	0.07426607656108125
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt07	fixed_background	common	829	1	0.12690816320023132	0.04711912987206132	0.08044208999704387
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt08	fixed_background	common	6787	2	0.11809055539478158	0.032287540222692285	0.08634536693493355
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt11	fixed_background	common	661	1	0.12729525295697186	0.0941837577343862	0.03352584611109406
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt15	fixed_background	common	5121	1	0.18419905522704547	0.11767465235089328	0.0681033987235103
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt17	fixed_background	common	187	1	0.20076640345861893	0.25862583108373416	-0.061104154047103704
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt18	fixed_background	common	5609	1	0.1827940646524714	0.042602217806108456	0.14224380245930954
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P5915	fixed_background	common	1138	1	0.05786559187398692	-0.008392839411345013	0.06632334465674339
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6198	fixed_background	common	5333	1	0.0557729304214112	-0.032544686991622225	0.08838705232589628
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6335	fixed_background	common	242	1	0.19867870499089182	0.2123740196383655	-0.014299608577479
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0107	fixed_background	common	121	1	-0.0887893446216335	0.13540740685610356	-0.22526798398626124
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0813	fixed_background	common	3124	2	0.11770958707402324	0.08146283077577042	0.0366140426244603
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0920	fixed_background	common	9962	2	0.19906646932777095	0.018463339746164632	0.18329487685562523
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P1231	fixed_background	common	286	1	0.3031424563362275	0.1549053921235542	0.1568138854088272
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	target_mean	common	1872	1	0.1979872429329493	0.24972452419609034	-0.05448218476388386
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	target_mean	common	294	1	0.45952836183904594	0.42060668481496405	0.04828435296128153
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	target_mean	common	1265	1	0.3287311009810564	0.21216257034655853	0.12597018772633442
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	target_mean	common	251	1	0.2551146093850773	0.2092220574136109	0.04851824774026722
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	target_mean	common	262	1	0.3166682372602713	0.17617603231819917	0.14990617404058065
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	target_mean	common	806	2	0.2524890565133562	0.1250629392050643	0.13234842227466614
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	target_mean	common	530	2	0.10499950057843525	0.09798652346550854	0.007085999046101035
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	target_mean	common	550	1	0.24964695633246445	0.06662448096889038	0.18831294499777607
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	target_mean	common	1519	4	0.2271771187273657	0.06566318545110941	0.16545314464478533
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt01	target_mean	common	2830	1	-0.06295347025469075	0.12706772670362562	-0.19079514970863615
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt02	target_mean	common	2225	1	0.18780603240720134	0.20427302133907901	-0.01712560023389939
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt03	target_mean	common	2377	1	0.20786731671546707	0.11310450279073204	0.09735077386603926
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt04	target_mean	common	3307	1	0.16219251070259455	0.05591647591740371	0.10766276130251237
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt05	target_mean	common	438	2	0.31384293567211907	0.1053446088255949	0.21906563999712828
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt06	target_mean	common	1169	2	0.11888203774861289	0.04386876465495755	0.07554994763496481
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt07	target_mean	common	829	1	0.11276362741868722	0.15702043425650433	-0.045085074239449865
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt08	target_mean	common	6787	2	0.13331474679558927	0.033615457800641915	0.10048494219586808
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt11	target_mean	common	661	1	0.1617414183486548	0.1238145852997403	0.038721215120118016
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt15	target_mean	common	5121	1	0.22706918254591646	0.17249139291356483	0.056863814906604665
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt17	target_mean	common	187	1	0.26391457915785566	0.31423673280893466	-0.05492802422032855
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt18	target_mean	common	5609	1	0.19452888003927318	0.09763500163107625	0.09909287129348326
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P5915	target_mean	common	1138	1	0.12598019794860518	0.06097819361501968	0.06559915317024133
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6198	target_mean	common	5333	1	0.06901916855816378	0.04283944345810785	0.026263398231601134
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6335	target_mean	common	242	1	0.2064355060069226	0.2427568644715187	-0.03825623502654313
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0107	target_mean	common	121	1	-0.040296080416086434	0.10354107171882705	-0.1442313952249051
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0813	target_mean	common	3124	2	0.13839578418459603	0.1029124140915175	0.036011607991485436
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0920	target_mean	common	9962	2	0.21108995133226288	0.043764403365452	0.1705194793729663
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P1231	target_mean	common	286	1	0.32843337505721876	0.18577947760687968	0.15310900066310762
Ogden_2025	CRC01	fixed_background	common	342	1	0.2613876754622398	0.10653327153643025	0.16065820170867373
Ogden_2025	CRC01	fixed_background	state_enhanced	342	1	0.22800078713971864	0.0840045637308615	0.14787660481757703
Ogden_2025	CRC02	fixed_background	common	706	1	0.07219246276632763	0.048534996950002775	0.023745111483830093
Ogden_2025	CRC02	fixed_background	state_enhanced	706	1	0.05375436240435685	0.0571687008851061	-0.003424876706362351
Ogden_2025	CRC03	fixed_background	common	452	1	0.23519378905568245	0.0960985410656861	0.14328432195392593
Ogden_2025	CRC03	fixed_background	state_enhanced	452	1	0.19072628246405293	0.06692466024458783	0.12606591432532865
Ogden_2025	CRC04	fixed_background	common	2678	1	0.2065715667535687	0.0019897002775709845	0.20759772525176232
Ogden_2025	CRC04	fixed_background	state_enhanced	2678	1	0.18705672280977384	0.00663096192578418	0.18265436228722226
Ogden_2025	CRC05	fixed_background	common	654	1	0.15111489396040265	0.1522350201902077	-0.0011465019743615301
Ogden_2025	CRC05	fixed_background	state_enhanced	654	1	0.17102170289944624	0.13610228795724905	0.03576682870269185
Ogden_2025	CRC06	fixed_background	common	997	1	0.23285730716487912	0.09677615625405074	0.1401284835334522
Ogden_2025	CRC06	fixed_background	state_enhanced	997	1	0.22036278058347536	0.03843941383644682	0.18557901005579275
Ogden_2025	CRC07	fixed_background	common	436	1	0.059952497869668456	-0.0006758430996568047	0.0607003255040668
Ogden_2025	CRC07	fixed_background	state_enhanced	436	1	0.020844719820556756	-0.009510154520048565	0.030358180879109138
Ogden_2025	CRC08	fixed_background	common	3323	1	0.23751297788134093	0.06384214619304537	0.1782076514169593
Ogden_2025	CRC08	fixed_background	state_enhanced	3323	1	0.17759088938504924	0.04747097760445174	0.1319873349010985
Ogden_2025	CRC09	fixed_background	common	1323	1	0.096187355097091	-0.00535150664032809	0.10183721254339978
Ogden_2025	CRC09	fixed_background	state_enhanced	1323	1	0.0734149904607876	-0.017695290178852775	0.09124445251880045
Ogden_2025	CRC10	fixed_background	common	1500	1	0.21990044020346855	0.10969108525284499	0.113417259714244
Ogden_2025	CRC10	fixed_background	state_enhanced	1500	1	0.16612944812964392	0.06899943531892191	0.0985743520084901
Ogden_2025	CRC11	fixed_background	common	952	1	0.16717300305595417	0.09906077504734914	0.06937024134082011
Ogden_2025	CRC11	fixed_background	state_enhanced	952	1	0.13533642294783915	0.08071563817761591	0.055280281002932294
Ogden_2025	CRC12	fixed_background	common	341	1	0.18548271869136687	0.04166293609664199	0.1459677742247775
Ogden_2025	CRC12	fixed_background	state_enhanced	341	1	0.07346051102838368	0.08117901788153359	-0.0077649679959497925
Ogden_2025	CRC14	fixed_background	common	1554	1	0.17205790781362973	0.02594584317360597	0.1478349140143149
Ogden_2025	CRC14	fixed_background	state_enhanced	1554	1	0.16691045979230434	0.042894708055219215	0.1255658421780243
Ogden_2025	CRC15	fixed_background	common	729	1	0.07008818179242841	-0.011667126323101695	0.08187094296503482
Ogden_2025	CRC15	fixed_background	state_enhanced	729	1	0.08539973367968871	-0.02316575959566945	0.10877816184325739
Ogden_2025	CRC01	target_mean	common	342	1	0.2820888563914734	0.13217195734612777	0.15700028717496503
Ogden_2025	CRC01	target_mean	state_enhanced	342	1	0.2632220696297328	0.112361239185349	0.15672949237951006
Ogden_2025	CRC02	target_mean	common	706	1	0.05566531701691899	0.08003681387161199	-0.024485456636277138
Ogden_2025	CRC02	target_mean	state_enhanced	706	1	0.040797967938021866	0.07918269439370314	-0.03852818263122008
Ogden_2025	CRC03	target_mean	common	452	1	0.24076750829356858	0.159910579206866	0.0842937635039854
Ogden_2025	CRC03	target_mean	state_enhanced	452	1	0.20698234503078733	0.15286956518697817	0.0559392002821843
Ogden_2025	CRC04	target_mean	common	2678	1	0.22357141994998098	0.014512952854835143	0.212898324608671
Ogden_2025	CRC04	target_mean	state_enhanced	2678	1	0.20092494106791647	0.017091757027069988	0.18660279867941468
Ogden_2025	CRC05	target_mean	common	654	1	0.14921643434956347	0.19367194142574115	-0.04581047955816828
Ogden_2025	CRC05	target_mean	state_enhanced	654	1	0.1948807752981727	0.19892685983555494	-0.004209290068808602
Ogden_2025	CRC06	target_mean	common	997	1	0.25183525980283106	0.12657199185348914	0.13011690492610592
Ogden_2025	CRC06	target_mean	state_enhanced	997	1	0.23715482460758167	0.07387466174733234	0.1677477224164477
Ogden_2025	CRC07	target_mean	common	436	1	0.04730540574825532	-0.0039199722027366875	0.05126073218542977
Ogden_2025	CRC07	target_mean	state_enhanced	436	1	-0.005969201153678192	-0.010932365728163192	0.004963529240415785
Ogden_2025	CRC08	target_mean	common	3323	1	0.2566804586506453	0.09374234453805563	0.16853308028177522
Ogden_2025	CRC08	target_mean	state_enhanced	3323	1	0.20920862666719642	0.07651813873441506	0.1356756031911395
Ogden_2025	CRC09	target_mean	common	1323	1	0.1479937781231814	0.031598571372764506	0.11747956940178611
Ogden_2025	CRC09	target_mean	state_enhanced	1323	1	0.11909338349900823	0.020219233306233306	0.09943927784717324
Ogden_2025	CRC10	target_mean	common	1500	1	0.2636161477894662	0.16340994533524467	0.10510245906098706
Ogden_2025	CRC10	target_mean	state_enhanced	1500	1	0.2199172182847944	0.11347112394886356	0.10960719075748027
Ogden_2025	CRC11	target_mean	common	952	1	0.17542821765777397	0.12966560753917605	0.046862076221195315
Ogden_2025	CRC11	target_mean	state_enhanced	952	1	0.14584453531479724	0.14052903522704524	0.005426776172043235
Ogden_2025	CRC12	target_mean	common	341	1	0.2033690864002136	0.0060293032246655845	0.2002151222054668
Ogden_2025	CRC12	target_mean	state_enhanced	341	1	0.1176326678895953	0.06349677002623397	0.05459748281702764
Ogden_2025	CRC14	target_mean	common	1554	1	0.14269784080335696	0.06978887095035646	0.07377591402970397
Ogden_2025	CRC14	target_mean	state_enhanced	1554	1	0.13648124057403685	0.08536883538281478	0.051761125599070854
Ogden_2025	CRC15	target_mean	common	729	1	0.07289796442610089	-0.0006534357025810852	0.07368094286119808
Ogden_2025	CRC15	target_mean	state_enhanced	729	1	0.09723157707808133	0.0048112716162932835	0.09272842667647418
